Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2008,Aaron Downey,DET,R,49,1974-08-27,Shelburne,ON,CAN,CAN,73,215,-,-,-,-,-
2008,Aaron Johnson,CHI,D,40,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73,204,2001,CBJ,3,22,85
2008,Aaron MacKenzie,COL,D,43,1981-03-07,Terrace bay,ON,CAN,CAN,73,195,-,-,-,-,-
2008,Aaron Rome,CBJ,D,40,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2008,Aaron Voros,NYR,L,42,1981-07-02,Vancouver,BC,CAN,CAN,74,210,2001,N.J,8,2,229
2008,Aaron Ward,BOS,D,51,1973-01-17,Windsor,ON,CAN,CAN,74,209,1991,WIN,1,5,5
2008,Adam Burish,CHI,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2008,Adam Foote,COL,D,52,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
2008,Adam Hall,T.B,R,43,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
2008,Adam Mair,BUF,C,45,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
2008,Adam Pardy,CGY,D,40,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2008,Adrian Aucoin,CGY,D,50,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
2008,Ales Hemsky,EDM,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2008,Ales Kotalik,"BUF, EDM",R,45,1978-12-23,Jindrichuv Hradec,CZE,CZE,73,225,1998,BUF,6,19,164,
2008,Alex Frolov,L.A,L,41,1982-06-19,Moscow,RUS,RUS,74,210,2000,L.A,1,20,20,
2008,Alex Goligoski,PIT,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2008,Alex Henry,MTL,D,44,1979-10-18,Elliot Lake,ON,CAN,CAN,78,231,1998,EDM,3,9,67
2008,Alex Kovalev,MTL,R,51,1973-02-24,Togliatti,RUS,RUS,74,222,1991,NYR,1,15,15,
2008,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2008,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2008,Alex Tanguay,MTL,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2008,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2008,Alexander Nikulin,PHX,C,38,1985-08-25,Perm,RUS,RUS,73,198,2004,OTT,4,24,122,
2008,Alexander Semin,WSH,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2008,Alexander Steen,"STL, TOR",L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2008,Alexander Sulzer,NSH,D,39,1984-05-30,Kaufbeuren,DEU,DEU,73,198,2003,NSH,3,24,92,
2008,Alexandre Bolduc,VAN,C,38,1985-06-26,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
2008,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2008,Alexandre Giroux,WSH,L,42,1981-06-16,Quebec City,QC,CAN,CAN,75,208,1999,OTT,7,27,213
2008,Alexandre Picard,OTT,D,38,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
2008,Alexandre Picard,CBJ,L,38,1985-10-09,Les Saules,QC,CAN,CAN,74,206,2004,CBJ,1,8,8
2008,Alexei Ponikarovsky,TOR,L,43,1980-04-09,Kiev,UKR,UKR,76,225,1998,TOR,4,1,87,
2008,Alexei Semenov,S.J,D,42,1981-04-10,Murmansk,RUS,RUS,78,245,1999,EDM,2,8,36,
2008,Andre Deveaux,TOR,C,40,1984-02-23,Freeport,BHS,BHS,75,239,2002,MTL,6,16,182,
2008,Andre Roy,CGY,R,49,1975-02-08,Port Chester,NY,USA,USA,76,229,1994,BOS,6,21,151
2008,Andreas Lilja,DET,D,48,1975-07-13,Helsingborg,SWE,SWE,75,220,2000,L.A,2,24,54,
2008,Andreas Nodl,PHI,R,37,1987-02-28,Vienna,AUT,AUT,73,196,2006,PHI,2,9,39,
2008,Andrei Kostitsyn,MTL,L,39,1985-02-03,Novopolotsk,BLR,BLR,72,214,2003,MTL,1,10,10,
2008,Andrei Markov,MTL,D,45,1978-12-20,Voskresensk,RUS,RUS,72,200,1998,MTL,6,17,162,
2008,Andrej Meszaros,T.B,D,38,1985-10-13,Povaská Bystrica,SVK,SVK,74,223,2004,OTT,1,23,23,
2008,Andrej Sekera,BUF,D,37,1986-06-08,Bojnice,SVK,SVK,72,200,2004,BUF,3,6,71,
2008,Andrew Alberts,PHI,D,42,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,BOS,6,14,179
2008,Andrew Brunette,MIN,L,50,1973-08-24,Sudbury,ON,CAN,CAN,73,215,1993,WSH,7,18,174
2008,Andrew Cogliano,EDM,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2008,Andrew Ebbett,ANA,C,41,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2008,Andrew Ference,BOS,D,45,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2008,Andrew Gordon,WSH,R,38,1985-12-13,Porters Lake,NS,CAN,CAN,72,194,2004,WSH,7,4,197
2008,Andrew Hutchinson,"DAL, T.B",D,44,1980-03-24,Evanston,IL,USA,USA,74,195,1999,NSH,2,26,54
2008,Andrew Ladd,CHI,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
2008,Andrew MacDonald,NYI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2008,Andrew Murray,CBJ,C,42,1981-11-06,Selkirk,MB,CAN,CAN,74,210,2001,CBJ,8,15,242
2008,Andrew Peters,BUF,L,43,1980-05-05,St. Catharines,ON,CAN,CAN,76,240,1998,BUF,2,7,34
2008,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2008,Andy Hilbert,NYI,L,43,1981-02-06,Howell,MI,USA,USA,70,188,2000,BOS,2,7,37
2008,Andy McDonald,STL,L,46,1977-08-25,Strathroy,ON,CAN,CAN,70,175,-,-,-,-,-
2008,Andy Sutton,NYI,D,49,1975-03-10,Kingston,ON,CAN,CAN,78,245,-,-,-,-,-
2008,Andy Wozniewski,STL,D,43,1980-05-25,Buffalo Grove,IL,USA,USA,77,225,-,-,-,-,-
2008,Anssi Salmela,"ATL, N.J",D,39,1984-08-13,Nokia,FIN,FIN,73,200,-,-,-,-,-,
2008,Anthony Stewart,FLA,R,39,1985-01-05,LaSalle,QC,CAN,CAN,75,230,2003,FLA,1,25,25
2008,Antoine Vermette,"CBJ, OTT",C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
2008,Anton Babchuk,CAR,D,39,1984-05-06,Kiev,UKR,UKR,77,200,2002,CHI,1,21,21,
2008,Anton Stralman,TOR,D,37,1986-08-01,Tibro,SWE,SWE,71,193,2005,TOR,7,22,216,
