Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2010,Aaron Gagnon,DAL,C,19,153.2,8.0631578947368,50.52,53.26,48.68,32.51,39.56,45.11,19.58,32.11,37.88,1.17,3.52,25.00,2.28,2.19,51.07,25.46,19.19,57.02,9.79,10.18,49.02,1.17,1.17,50.00,20.89,12.01,63.49,0,0.52,0.00,28.29,37.9,42.74,0,2.83,0.00,6.00,89.02,0.950,11.36,18.02,11.75,54.44,49.15,15.67,24.28,17.23,47.62
2010,Aaron Palushaj,MTL,R,3,25.55,8.5166666666667,72.8,70.45,50.82,39.92,46.97,45.95,21.14,28.18,42.86,2.35,0,100.00,1.65,2.68,38.20,28.18,42.27,40.00,7.05,14.09,33.33,0,0,-,28.18,37.57,42.86,3.13,0,100.00,64.45,33.92,65.52,0,0,-,11.11,100.00,1.111,7.05,9.39,9.39,58.71,42.86,18.79,16.44,11.74,61.54
2010,Aaron Rome,VAN,D,56,977.05,17.447321428571,49.56,56.07,46.92,36.23,43.17,45.63,25.18,32.12,43.94,2.15,2.39,47.30,2.21,2.74,44.70,24.01,26.34,47.68,10.5,13.08,44.53,1.35,1.35,50.00,18.01,17.69,50.46,0.49,0.57,46.15,31.31,38.67,44.74,0.35,0.89,28.57,8.54,92.54,1.011,6.88,13.08,11.61,48.88,37.21,12.77,20.45,20.2,38.73
2010,Aaron Volpatti,VAN,L,15,102.46666666667,6.8311111111111,48.02,49.19,49.40,39.23,36.3,51.94,29.28,23.42,55.56,1.76,1.76,50.00,2.12,2.08,50.46,21.08,21.08,50.00,9.95,10.54,48.57,0.59,1.17,33.33,14.83,14.05,51.35,0.78,0.78,50.00,31.29,38.91,44.58,0.85,0,100.00,6.00,92.50,0.985,5.86,12.88,2.93,62.65,66.67,9.37,21.67,10.54,47.06
2010,Aaron Voros,ANA,L,12,66.55,5.5458333333333,47.78,55,46.49,40.57,41.47,49.45,27.05,27.05,50.00,0.9,4.51,16.67,2.16,2.44,47.00,20.74,25.24,45.10,7.21,9.02,44.44,0.9,1.8,33.33,18.03,21.64,45.45,0,2.4,0.00,32.56,36.46,47.17,0,1.3,0.00,3.33,83.33,0.867,18.93,16.23,7.21,62.21,72.41,23.44,24.34,13.52,63.41
2010,Adam Burish,DAL,R,63,904.03333333333,14.349735449735,41.55,66.77,38.36,31.26,46.66,40.12,22.83,32.79,41.05,1.73,2.52,40.63,1.72,2.71,38.81,18.19,28.87,38.65,6.84,11.28,37.73,0.6,1.53,28.13,15.13,23.45,39.22,0.71,0.88,44.44,27.03,45.06,37.50,0.67,0.48,58.33,7.56,92.31,0.999,8.5,14.53,24.56,41.08,25.70,13.27,20.18,37.76,26.01
2010,Adam Cracknell,STL,R,24,214.16666666667,8.9236111111111,50.15,54.91,47.73,35.02,39.5,46.99,25.77,26.61,49.20,2.8,2.52,52.63,1.8,2.58,41.13,18.21,27.18,40.12,7,13.17,34.72,1.68,1.12,60.00,14.94,18.68,44.44,1.12,0.75,60.00,39.66,34.8,53.26,0.4,1.21,25.00,10.87,90.53,1.014,11.21,13.73,5.6,64.44,66.67,19.05,19.05,12.61,60.18
2010,Adam Foote,COL,D,47,842.48333333333,17.925177304965,40.95,68.94,37.27,31.48,52.06,37.68,23.79,38.39,38.26,2.14,4.34,32.97,2.19,3.35,39.52,21.72,31.62,40.72,10.04,12.32,44.90,1.28,2.92,30.51,15.57,25.73,37.70,0.47,1.14,29.41,23.35,45.98,33.68,0.51,0.82,38.46,8.98,88.68,0.977,5.91,14.03,16.24,46.22,26.69,11.32,19.16,25.42,30.81
2010,Adam Hall,T.B,R,82,1217.65,14.849390243902,41.05,61.94,39.86,32.97,42.82,43.50,24.79,29.66,45.52,1.38,3.06,31.11,2.05,2.64,43.80,22.52,25.97,46.44,10.3,9.61,51.73,1.08,1.77,37.93,16.29,21.81,42.76,0.26,1.12,19.05,23.13,43.92,34.50,0.07,0.64,10.00,5.57,89.70,0.953,6.9,19.86,19.32,46.57,26.32,11.88,25.57,28.63,29.32
2010,Adam Henrique,N.J,C,1,13.35,13.35,49.44,35.96,57.89,44.94,17.98,71.43,35.96,4.49,88.89,4.49,0,100.00,3.24,0.41,88.82,22.47,4.49,83.33,13.48,0,100.00,4.49,0,100.00,11.99,5.99,66.67,0,0,-,38.95,38.95,50.00,0,0,-,12.50,100.00,1.125,8.99,13.48,13.48,35.96,40.00,22.47,13.48,17.98,55.56
2010,Adam Mair,N.J,C,65,591.11666666667,9.0941025641026,40.91,49.33,45.33,31.36,36.64,46.12,23.24,26.49,46.73,0.61,2.54,19.35,1.66,2.14,43.67,17.15,20.71,45.31,5.79,9.44,38.00,0.2,1.73,10.53,15.16,15.02,50.22,0.27,0.41,40.00,29.03,36.21,44.49,0.29,0.73,28.57,2.62,90.42,0.930,7.41,13.7,6.8,60.9,52.14,12.59,19.29,13.2,48.82
2010,Adam McQuaid,BOS,D,67,996,14.865671641791,51.87,62.95,45.17,36.27,45.36,44.43,26.93,33.31,44.70,3.37,2.05,62.22,2.08,2.72,43.42,24.34,28.92,45.70,8.19,10.18,44.59,1.63,1.33,55.10,21.53,24.98,46.29,1.45,0.4,78.26,34.81,44.46,43.91,0.78,0.61,56.25,12.53,93.85,1.064,7.35,13.55,11.33,49.1,39.35,15.42,20.66,20.96,42.38
2010,Adam Pardy,CGY,D,30,440.61666666667,14.687222222222,60.32,49.84,54.76,43.44,34.04,56.06,31.32,24.24,56.37,3,2.59,53.66,2.3,1.74,56.93,25.06,18.38,57.68,9.26,7.08,56.67,1.77,0.95,65.00,21.06,15.07,58.29,0.91,0.54,62.50,44.26,38.36,53.57,0.79,1.77,30.77,9.57,89.33,0.989,9.26,14.84,5.45,50.79,62.96,17.84,20.29,12.66,58.48
2010,Adrian Aucoin,PHX,D,75,1624.6333333333,21.661777777778,50.67,62.64,44.72,37.78,49.56,43.26,27.26,34.09,44.43,2.59,2.84,47.62,2.27,3.19,41.52,22.57,29.43,43.39,8.79,12.96,40.41,1.55,1.55,50.00,18.37,21.96,45.54,0.59,1.08,35.29,33.93,42.57,44.35,0.53,0.64,45.45,9.49,91.66,1.011,7.57,12.85,14.7,43.43,34.00,14.66,19.65,24.37,37.56
2010,Alec Martinez,L.A,D,60,916.6,15.276666666667,62.45,42.22,59.66,46.08,31.16,59.66,32.08,21.93,59.39,2.55,1.44,63.93,2.59,1.67,60.78,24.94,18.2,57.81,10.21,5.83,63.67,1.64,0.85,65.79,19.64,16.5,54.35,0.52,0.7,42.86,47.37,29.5,61.62,0.76,0.09,88.89,7.96,93.43,1.014,13.68,13.68,8.12,45.17,62.76,20.75,18.59,13.81,60.04
2010,Ales Hemsky,EDM,R,47,859.26666666667,18.282269503546,57.05,53.77,51.48,41.69,40.78,50.55,29.96,29.19,50.65,3.42,2.79,55.06,3.15,3.04,50.91,27.44,26.46,50.91,10.12,10.54,48.99,1.89,1.4,57.45,23.09,21.23,52.10,1.58,1.12,58.62,38.33,31.67,54.76,0.5,0.4,55.56,11.42,90.43,1.019,13.41,16.41,8.59,41.06,60.95,23.95,22.48,14.66,62.03
2010,Ales Kotalik,CGY,R,26,321.7,12.373076923077,63.04,49.98,55.78,46.63,36.56,56.05,32.45,27.42,54.21,2.05,2.61,44.00,2.25,1.91,54.04,24.43,20.14,54.81,9.14,7.65,54.44,0.56,0.75,42.86,20.39,16.66,55.03,0.75,1.49,33.33,47.95,35.83,57.23,1.35,0.81,62.50,6.32,90.48,0.968,11.94,11.75,6.34,48.49,65.31,22.38,18.46,14.92,60.00
2010,Alex Frolov,NYR,L,43,620.33333333333,14.426356589147,59.29,50.3,54.10,44.01,36.66,54.56,31.43,27.08,53.72,2.61,1.55,62.79,3.47,2.49,58.22,36.75,26.5,58.10,16.64,11.03,60.14,1.45,0.87,62.50,26.82,20.63,56.52,0.9,0.52,63.64,29.06,30.04,49.17,0.7,0.28,71.43,8.31,94.29,1.026,14.8,12.77,8.41,36.37,63.75,20.7,19.25,14.31,59.12
