Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,A.J. Greer,CGY,L,57,499.63333333333,8.7654970760234,0.72,0.72,0.36,0.36,1.44,80.00,6.72,10.71,0.76,12.73,9.25,7.09,4.08,0.72,1.32,4.2,1.56,1.2,0.36,0,1.32,1.8,2.04,10.57,4.92,2.88,0.48,0.48,6.00
2023,Aaron Ekblad,FLA,D,51,1064,20.862745098039,0.23,0.79,0.34,0.45,1.02,31.03,5.53,4.08,0.35,12.74,8.52,3.55,0.68,0.23,1.24,2.82,1.18,1.13,0,0.06,0.34,1.47,0.79,4.06,2.48,3.33,0,0,-
2023,Adam Beckman,MIN,L,10,92.65,9.265,0,1.3,0.65,0.65,1.3,100.00,6.48,0.00,0.64,14.25,11.01,7.77,1.94,1.94,0,6.48,0.65,0,0,0.65,1.3,0,1.3,6.48,5.18,1.94,0,0,-
2023,Adam Boqvist,CBJ,D,35,639.91666666667,18.283333333333,0.09,0.84,0.47,0.38,0.94,31.25,4.22,2.22,0.32,11.35,6.84,4.22,1.03,0.09,0.84,0,0,0,0,0,0.38,1.5,0.66,1.03,2.91,3.94,0,0,-
2023,Adam Edstrom,NYR,C,11,92.516666666667,8.4106060606061,1.3,0,0,0,1.3,66.67,4.54,28.57,0.57,6.49,5.19,5.19,1.3,0.65,0,1.3,0.65,0.65,0,0,1.95,2.59,0.65,19.46,7.13,1.3,0,0,-
2023,Adam Erne,EDM,L,23,178.98333333333,7.781884057971,0.34,0.34,0.34,0,0.67,33.33,4.36,7.69,0.44,8.72,5.7,5.03,2.35,0,0.34,2.35,0.67,0.34,0.34,0,0.67,1.34,1.01,18.44,6.37,1.68,1.34,1.68,14.90
2023,Adam Fantilli,CBJ,C,49,769.8,15.710204081633,0.94,1.17,0.78,0.39,2.1,75.00,8.96,10.43,0.96,19.25,13.25,9.43,2.42,0.47,2.49,1.25,0.62,0.62,0,0,1.01,1.17,1.4,3.59,3.59,1.95,13.33,17.23,3.40
2023,Adam Fox,NYR,D,67,1571.95,23.461940298507,0.57,2.02,0.92,1.11,2.6,60.18,4.81,11.90,0.36,10.27,6.79,3.44,0.73,0.31,0.69,1.37,0.69,0.69,0,0,0.84,1.11,1.64,1.37,2.52,4.31,0,0,-
2023,Adam Gaudette,STL,C,2,19.6,9.8,0,0,0,0,0,0.00,0,-,0.18,3.06,3.06,3.06,0,0,3.06,12.24,6.12,6.12,0,0,0,0,3.06,12.24,0,3.06,0,0,-
2023,Adam Ginning,PHI,D,9,127.35,14.15,0.47,0,0,0,0.47,25.00,2.83,16.67,0.06,7.07,3.77,0.94,0,0,0.47,0,0,0,0,0,0,2.83,0.94,8.01,4.24,4.24,0,0,-
2023,Adam Henrique,"ANA, EDM",C,76,1284.35,16.899342105263,1.03,1.17,0.61,0.56,2.2,67.14,6.07,16.92,0.86,11.91,9.53,6.82,3.74,0.33,1.31,1.73,0.61,0.51,0.05,0.05,0.56,0.75,1.31,3.97,2.43,3.41,25.6,22,2.51
2023,Adam Klapka,CGY,R,4,24.55,6.1375,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,4.89,2.44,2.44,0,0,0,2.44,2.44,19.55,9.78,2.44,0,2.44,0.00
2023,Adam Larsson,SEA,D,75,1726.2833333333,23.017111111111,0.14,0.49,0.17,0.31,0.63,29.51,4.14,3.36,0.2,9.73,5.94,2.99,0.59,0.31,0.9,1.91,0.7,0.63,0.03,0.03,0.31,0.56,0.7,4.76,2.43,4.97,0,0,-
2023,Adam Lowry,WPG,C,77,1243.05,16.143506493506,0.48,1.11,0.72,0.39,1.59,67.35,5.55,8.70,0.92,11.05,9.07,7.67,4.49,0.29,1.35,2.65,0.82,0.48,0.34,0,0.92,0.77,1.69,7.72,4.59,3.04,31.42,32.05,2.39
2023,Adam Pelech,NYI,D,53,1063.5666666667,20.067295597484,0.06,0.73,0.34,0.39,0.79,34.15,3.78,1.49,0.16,9.42,6.09,2.14,0.28,0.17,0.62,1.52,0.68,0.62,0.06,0,0.56,1.75,0.73,3.16,3.61,5.36,0,0,-
2023,Adam Raska,MIN,R,5,34.05,6.81,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,1.76,19.38,5.29,1.76,0,0,-
2023,Adam Ruzicka,"ARI, CGY",C,42,421.13333333333,10.026984126984,0.43,0.85,0.57,0.28,1.28,64.29,4.99,8.57,0.55,10.54,7.41,5.41,1.85,0.14,1.28,1.71,0.71,0.71,0,0,0.71,1.57,0.85,1.14,2.42,2.28,12.25,13.82,6.70
2023,Adrian Kempe,L.A,R,72,1365.05,18.959027777778,1.19,1.93,1.1,0.84,3.12,73.20,10.37,11.44,0.98,20.79,14.77,8.83,2.77,0.44,1.63,2.99,1.23,1.19,0,0.04,1.36,1.01,1.32,4.35,2.77,1.36,0.09,0.4,0.80
2023,Akil Thomas,L.A,C,3,23.966666666667,7.9888888888889,2.5,0,0,0,2.5,100.00,7.51,33.33,0.22,10.01,10.01,5.01,0,2.5,0,0,0,0,0,0,2.5,0,2.5,12.52,12.52,2.5,2.5,5.01,83.45
2023,Akito Hirose,VAN,D,3,36.316666666667,12.105555555556,0,0,0,0,0,0.00,0,-,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,6.61,8.26,0,0,-
2023,Alec Martinez,VGK,D,51,984.13333333333,19.296732026144,0.24,0.79,0.3,0.49,1.04,32.08,4.15,5.88,0.15,10.55,6.22,2.68,0.12,0.06,0.73,0.37,0.18,0.18,0,0,0.24,1.4,0.73,1.52,4.57,9.82,0,0,-
2023,Aleksander Barkov,FLA,C,69,1352.8666666667,19.606763285024,1.02,2.35,1.37,0.98,3.37,69.72,8.29,12.30,1.03,15.88,12.24,9.31,3.86,0.58,1.46,1.06,0.49,0.49,0,0,0.71,1.29,2.48,3.59,3.41,2.13,26.43,19.78,2.54
2023,Alex Barré-Boulet,T.B,C,36,402.8,11.188888888889,0.89,0.45,0.3,0.15,1.34,56.25,6.85,13.04,0.87,12.07,10.43,8.49,3.87,0,0.3,1.49,0.74,0.74,0,0,0.89,1.34,2.09,3.43,2.23,1.19,2.09,2.09,7.45
2023,Alex DeBrincat,DET,R,77,1372.2166666667,17.820995670996,1.05,1.57,1.01,0.57,2.62,62.50,9.14,11.48,0.99,18.98,13.69,9.4,2.75,0.35,1.62,1.49,0.61,0.52,0.09,0,0.96,1.53,1.97,1.97,2.23,1.49,0.61,0.96,1.70
2023,Alex Goligoski,MIN,D,32,489.33333333333,15.291666666667,0,1.1,0.86,0.25,1.1,47.37,3.43,0.00,0.23,8.95,5.64,2.82,0.86,0,0.61,1.72,0.86,0.86,0,0,0.49,1.47,0.37,2.57,2.82,4.05,0,0,-
2023,Alex Iafallo,WPG,L,77,1189.3833333333,15.446536796537,0.55,0.76,0.45,0.3,1.31,46.43,5.75,9.65,0.76,11.85,9.28,6.96,3.83,0.45,0.81,0.2,0.1,0.1,0,0,0.5,0.81,1.31,1.61,3.23,3.23,0.4,0.86,1.61
2023,Alex Kerfoot,ARI,C,76,1305.4333333333,17.176754385965,0.55,1.38,0.92,0.46,1.93,68.85,4.46,12.37,0.76,8.41,6.99,5.47,3.63,0.18,0.74,1.1,0.55,0.55,0,0,0.74,1.06,1.7,2.85,4.87,3.17,16.96,18.38,2.21
