PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap,Y_Salary_Cap_Percentage
Alex Ovechkin,WSH,26,"Sep. 17, 1985",Russia,LW,Right,1 - Round 1 - 2004 (WSH),WSH,Standard (1-way),22,,13,UFA,2021,"$9,538,462","$9,538,462","$9,000,000","$9,000,000",$0,$0,2012-13,60000000,0.15897436666666667
Evgeni Malkin,PIT,25,"Jul. 31, 1986",Russia,C,Left,2 - Round 1 - 2004 (PIT),PIT,Standard (1-way),21,NMC,5,UFA,2014,"$8,700,000","$8,700,000","$9,000,000","$9,000,000",$0,$0,2012-13,60000000,0.145
Sidney Crosby,PIT,24,"Aug. 7, 1987",Canada,C,Left,1 - Round 1 - 2005 (PIT),PIT,Standard (1-way),19,NMC,5,UFA,2013,"$8,700,000","$8,700,000","$7,500,000","$7,500,000",$0,$0,2012-13,60000000,0.145
Eric Staal,-,27,"Oct. 29, 1984",Canada,C,Left,2 - Round 1 - 2003 (CAR),CAR,Standard (1-way),23,NTC,7,UFA,2016,"$8,250,000","$8,250,000","$8,500,000","$8,500,000",$0,$0,2012-13,60000000,0.1375
Shea Weber,ARI,26,"Aug. 14, 1985",Canada,RD,Right,49 - Round 2 - 2003 (NSH),NSH,Standard (1-way),26,,14,UFA,2026,"$7,857,143","$7,857,143","$14,000,000","$1,000,000","$13,000,000",$0,2012-13,60000000,0.13095238333333334
Rick Nash,-,28,"Jun. 16, 1984",Canada,"LW, RW",Left,1 - Round 1 - 2002 (CBJ),CBJ,Standard (1-way),26,NMC,8,UFA,2018,"$7,800,000","$7,800,000","$7,600,000","$7,600,000",$0,$0,2012-13,60000000,0.13
Vincent Lecavalier,-,32,"Apr. 21, 1980",Canada,"C, LW",Left,1 - Round 1 - 1998 (TBL),TBL,Standard (1-way),29,,11,UFA,2020,"$7,727,272","$7,727,272","$10,000,000","$7,000,000","$3,000,000",$0,2012-13,60000000,0.12878786666666667
Ryan Suter,DAL,27,"Jan. 21, 1985",United States,LD,Left,7 - Round 1 - 2003 (NSH),MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0,2012-13,60000000,0.12564103333333335
Zach Parise,COL,27,"Jul. 28, 1984",United States,LW,Left,17 - Round 1 - 2003 (NJD),MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0,2012-13,60000000,0.12564103333333335
Dany Heatley,-,31,"Jan. 21, 1981",Germany,LW,Left,2 - Round 1 - 2000 (ATL),OTT,Standard (1-way),26,NMC,6,UFA,2014,"$7,500,000","$7,500,000","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.125
Marián Gáborík,-,30,"Feb. 14, 1982",Slovakia,RW,Left,3 - Round 1 - 2000 (MIN),NYR,Standard (1-way),27,NTC,5,UFA,2014,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0,2012-13,60000000,0.125
Steven Stamkos,TBL,22,"Feb. 7, 1990",Canada,"LW, C",Right,1 - Round 1 - 2008 (TBL),TBL,Standard (1-way),21,,5,UFA,2016,"$7,500,000","$7,500,000","$8,000,000","$5,000,000","$3,000,000",$0,2012-13,60000000,0.125
Scott Gomez,-,32,"Dec. 23, 1979",United States,C,Left,27 - Round 1 - 1998 (NJD),NYR,Standard (1-way),27,,7,UFA,2014,"$7,357,143","$7,357,143","$5,500,000","$5,500,000",$0,$0,2012-13,60000000,0.12261905
Brian Campbell,-,33,"May 23, 1979",Canada,LD,Left,156 - Round 6 - 1997 (BUF),CHI,Standard (1-way),29,M-NTC,8,UFA,2016,"$7,142,875","$7,142,875","$7,142,875","$7,142,875",$0,$0,2012-13,60000000,0.11904791666666667
Thomas Vanek,-,28,"Jan. 19, 1984",Austria,"LW, RW",Right,5 - Round 1 - 2003 (BUF),BUF,Standard (1-way),23,,7,UFA,2014,"$7,142,857","$7,142,857","$6,400,000","$6,400,000",$0,$0,2012-13,60000000,0.11904761666666666
Alexander Semin,-,28,"Mar. 3, 1984",Russia,"RW, LW",Right,13 - Round 1 - 2002 (WSH),CAR,Standard (1-way),28,,1,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2012-13,60000000,0.11666666666666667
Pekka Rinne,-,29,"Nov. 3, 1982",Finland,G,Left,258 - Round 8 - 2004 (NSH),NSH,Standard (1-way),29,NMC,7,UFA,2019,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2012-13,60000000,0.11666666666666667
Jarome Iginla,-,35,"Jul. 1, 1977",Canada,RW,Right,11 - Round 1 - 1995 (DAL),CGY,Standard (1-way),30,NMC,5,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2012-13,60000000,0.11666666666666667
Joe Thornton,-,32,"Jul. 2, 1979",Canada,"C, LW",Left,1 - Round 1 - 1997 (BOS),SJS,Standard (1-way),31,NMC,3,UFA,2014,"$7,000,000","$7,000,000","$7,000,000","$6,000,000","$1,000,000",$0,2012-13,60000000,0.11666666666666667
Drew Doughty,LAK,22,"Dec. 8, 1989",Canada,RD,Right,2 - Round 1 - 2008 (LAK),LAK,Standard (1-way),21,,8,UFA,2019,"$7,000,000","$7,000,000","$6,500,000","$6,500,000",$0,$0,2012-13,60000000,0.11666666666666667
Jason Spezza,-,29,"Jun. 13, 1983",Canada,"C, RW",Right,2 - Round 1 - 2001 (OTT),OTT,Standard (1-way),25,"M-NTC, NMC",7,UFA,2015,"$7,000,000","$7,000,000","$8,000,000","$8,000,000",$0,$0,2012-13,60000000,0.11666666666666667
Zdeno Chara,-,35,"Mar. 18, 1977",Slovakia,LD,Left,56 - Round 3 - 1996 (NYI),BOS,Standard (1-way),33,NMC,7,UFA,2018,"$6,916,667","$6,916,667","$6,000,000","$6,000,000",$0,$0,2012-13,60000000,0.11527778333333333
Patrick Marleau,-,32,"Sep. 15, 1979",Canada,"LW, C",Left,2 - Round 1 - 1997 (SJS),SJS,Standard (1-way),30,NMC,4,UFA,2014,"$6,900,000","$6,900,000","$6,900,000","$5,520,000","$1,380,000",$0,2012-13,60000000,0.115
Henrik Lundqvist,-,30,"Mar. 2, 1982",Sweden,G,Left,205 - Round 7 - 2000 (NYR),NYR,Standard (1-way),25,,6,UFA,2014,"$6,875,000","$6,875,000","$6,875,000","$6,875,000",$0,$0,2012-13,60000000,0.11458333333333333
