Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2007,Aaron Downey,DET,R,49,1974-08-27,Shelburne,ON,CAN,CAN,73.0,215.0,,-,-,-,-
2007,Aaron Johnson,NYI,D,40,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73.0,204.0,2001.0,CBJ,3,22,85
2022,Aatu Raty,"NYI, VAN",C,21,2002-11-14,Oulu,FIN,FIN,,74.0,190.0,2021.0,NYI,2,20,52
2023,Adam Boqvist,CBJ,D,23,2000-08-15,Falun,SWE,SWE,,72.0,182.0,2018.0,CHI,1,8,8
2023,Adam Edstrom,NYR,C,23,2000-10-12,SWE,SWE,79,,,220.0,2019.0,NYR,6,6,161
2015,Adam Larsson,N.J,D,31,1992-11-12,Skellefteå,SWE,SWE,,75.0,209.0,2011.0,N.J,1,4,4
2023,Adam Fantilli,CBJ,C,19,2004-10-12,CAN,74,194,,,,2023.0,CBJ,1,3,3
2022,Adam Ginning,PHI,D,24,2000-01-13,Linkoping,SWE,SWE,,75.0,188.0,2018.0,PHI,2,19,50
2018,Adam Larsson,EDM,D,31,1992-11-12,Skellefteå,SWE,SWE,,75.0,209.0,2011.0,N.J,1,4,4
2023,Adam Ginning,PHI,D,24,2000-01-13,Linkoping,SWE,SWE,,75.0,188.0,2018.0,PHI,2,19,50
2011,Adam Larsson,N.J,D,31,1992-11-12,Skellefteå,SWE,SWE,,75.0,209.0,2011.0,N.J,1,4,4
2023,Adam Klapka,CGY,R,23,2000-09-14,Praha,CZE,CZE,,80.0,235.0,,-,-,-,-
2023,Adam Larsson,SEA,D,31,1992-11-12,Skellefteå,SWE,SWE,,75.0,209.0,2011.0,N.J,1,4,4
2022,Adam Ruzicka,CGY,C,24,1999-05-11,Bratislava,SVK,SVK,,76.0,215.0,2017.0,CGY,4,16,109
2022,Adrian Kempe,L.A,"C, R",27,1996-09-13,Kramfors,SWE,SWE,,74.0,200.0,2014.0,L.A,1,29,29
2023,Adam Raska,MIN,R,22,2001-09-25,Frydek-Mistek,CZE,CZE,,70.0,178.0,2020.0,S.J,7,15,201
2023,Adam Ruzicka,"ARI, CGY",C,24,1999-05-11,Bratislava,SVK,SVK,,76.0,215.0,2017.0,CGY,4,16,109
2023,Adrian Kempe,L.A,R,27,1996-09-13,Kramfors,SWE,SWE,,74.0,200.0,2014.0,L.A,1,29,29
2021,Aleksi Heponiemi,FLA,C,25,1999-01-09,Tampere,FIN,FIN,,70.0,155.0,2017.0,FLA,2,9,40
2022,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,,75.0,215.0,2013.0,FLA,1,2,2
2023,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,,75.0,215.0,2013.0,FLA,1,2,2
2012,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2016,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2014,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,,76.0,210.0,2004.0,VAN,3,26,91
2018,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2019,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2017,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2016,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,,76.0,210.0,2004.0,VAN,3,26,91
2019,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,,76.0,210.0,2004.0,VAN,3,26,91
2020,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2023,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2022,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,,75.0,238.0,2004.0,WSH,1,1,1
2020,Alex Wennberg,FLA,C,29,1994-09-22,Stockholm,SWE,SWE,,74.0,190.0,2013.0,CBJ,1,14,14
2020,Alexander Barabanov,"S.J, TOR",L,29,1994-06-17,St. Petersburg,RUS,RUS,,70.0,195.0,,-,-,-,-
2019,Alexander Wennberg,CBJ,C,29,1994-09-22,Stockholm,SWE,SWE,,74.0,190.0,2013.0,CBJ,1,14,14
2020,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,,76.0,210.0,2004.0,VAN,3,26,91
2021,Alex Wennberg,SEA,C,29,1994-09-22,Stockholm,SWE,SWE,,74.0,190.0,2013.0,CBJ,1,14,14
2023,Alex Wennberg,"NYR, SEA",C,29,1994-09-22,Stockholm,SWE,SWE,,74.0,190.0,2013.0,CBJ,1,14,14
2023,Alexander Alexeyev,WSH,D,24,1999-11-15,St. Petersburg,RUS,RUS,,76.0,213.0,2018.0,WSH,1,31,31
