Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2009,Aaron Gagnon,DAL,C,37,1986-04-24,Quesnel,BC,CAN,CAN,71,186,2004,PHX,8,13,240
2009,Aaron Johnson,"CGY, EDM",D,40,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73,204,2001,CBJ,3,22,85
2009,Aaron Rome,VAN,D,40,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2009,Aaron Voros,NYR,L,42,1981-07-02,Vancouver,BC,CAN,CAN,74,210,2001,N.J,8,2,229
2009,Aaron Ward,"ANA, CAR",D,51,1973-01-17,Windsor,ON,CAN,CAN,74,209,1991,WIN,1,5,5
2009,Adam Burish,CHI,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2009,Adam Foote,COL,D,52,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
2009,Adam Mair,BUF,C,45,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
2009,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2009,Adam Pardy,CGY,D,39,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2009,Adrian Aucoin,PHX,D,50,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
2009,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2009,Ales Hemsky,EDM,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2009,Ales Kotalik,"CGY, NYR",R,45,1978-12-23,Jindrichuv Hradec,CZE,CZE,73,225,1998,BUF,6,19,164,
2009,Alex Frolov,L.A,L,41,1982-06-19,Moscow,RUS,RUS,74,210,2000,L.A,1,20,20,
2009,Alex Goligoski,PIT,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2009,Alex Kovalev,OTT,R,51,1973-02-24,Togliatti,RUS,RUS,74,222,1991,NYR,1,15,15,
2009,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2009,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2009,Alex Plante,EDM,D,34,1989-05-09,Brandon,MB,CAN,CAN,76,230,2007,EDM,1,15,15
2009,Alex Tanguay,T.B,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2009,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2009,Alexander Semin,WSH,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2009,Alexander Steen,STL,L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2009,Alexander Sulzer,NSH,D,39,1984-05-30,Kaufbeuren,DEU,DEU,73,198,2003,NSH,3,24,92,
2009,Alexandre Bolduc,VAN,C,38,1985-06-26,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
2009,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2009,Alexandre Giroux,WSH,L,42,1981-06-16,Quebec City,QC,CAN,CAN,75,208,1999,OTT,7,27,213
2009,Alexandre Picard,CBJ,L,38,1985-10-09,Les Saules,QC,CAN,CAN,74,206,2004,CBJ,1,8,8
2009,Alexandre Picard,"CAR, OTT",D,38,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
2009,Alexei Ponikarovsky,"PIT, TOR",L,43,1980-04-09,Kiev,UKR,UKR,76,225,1998,TOR,4,1,87,
2009,Anders Eriksson,"NYR, PHX",D,49,1975-01-09,Bollnas,SWE,SWE,75,224,1993,DET,1,22,22,
2009,Andre Deveaux,TOR,C,40,1984-02-23,Freeport,BHS,BHS,75,239,2002,MTL,6,16,182,
2009,Andreas Lilja,DET,D,48,1975-07-13,Helsingborg,SWE,SWE,75,220,2000,L.A,2,24,54,
2009,Andreas Nodl,PHI,R,37,1987-02-28,Vienna,AUT,AUT,73,196,2006,PHI,2,9,39,
2009,Andreas Thuresson,NSH,R,36,1987-11-18,Kristianstad,SWE,SWE,73,206,2007,NSH,5,23,144,
2009,Andrei Kostitsyn,MTL,L,39,1985-02-03,Novopolotsk,BLR,BLR,72,214,2003,MTL,1,10,10,
2009,Andrei Loktionov,L.A,C,33,1990-05-30,Voskresensk,RUS,RUS,71,190,2008,L.A,5,2,123,
2009,Andrei Markov,MTL,D,45,1978-12-20,Voskresensk,RUS,RUS,72,200,1998,MTL,6,17,162,
2009,Andrej Meszaros,T.B,D,38,1985-10-13,Povaská Bystrica,SVK,SVK,74,223,2004,OTT,1,23,23,
2009,Andrej Sekera,BUF,D,37,1986-06-08,Bojnice,SVK,SVK,72,200,2004,BUF,3,6,71,
2009,Andrew Alberts,"CAR, VAN",D,42,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,BOS,6,14,179
2009,Andrew Bodnarchuk,BOS,D,35,1988-07-11,Drumheller,AB,CAN,CAN,71,195,2006,BOS,5,5,128
2009,Andrew Brunette,MIN,L,50,1973-08-24,Sudbury,ON,CAN,CAN,73,215,1993,WSH,7,18,174
2009,Andrew Cogliano,EDM,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2009,Andrew Ebbett,"ANA, CHI, MIN",C,41,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2009,Andrew Ference,BOS,D,45,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2009,Andrew Gordon,WSH,R,38,1985-12-13,Porters Lake,NS,CAN,CAN,72,194,2004,WSH,7,4,197
2009,Andrew Ladd,CHI,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
2009,Andrew MacDonald,NYI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2009,Andrew Murray,CBJ,C,42,1981-11-06,Selkirk,MB,CAN,CAN,74,210,2001,CBJ,8,15,242
2009,Andrew Peters,N.J,L,43,1980-05-05,St. Catharines,ON,CAN,CAN,76,240,1998,BUF,2,7,34
2009,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2009,Andy Hilbert,MIN,L,43,1981-02-06,Howell,MI,USA,USA,70,188,2000,BOS,2,7,37
2009,Andy McDonald,STL,L,46,1977-08-25,Strathroy,ON,CAN,CAN,70,175,-,-,-,-,-
2009,Andy Sutton,"NYI, OTT",D,49,1975-03-10,Kingston,ON,CAN,CAN,78,245,-,-,-,-,-
