Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2020,A.J. Greer,N.J,L,1,8.55,8.55,28.07,112.28,20.00,28.07,98.25,22.22,7.02,84.21,7.69,0,0,-,1.41,8.95,13.58,28.07,70.18,28.57,7.02,35.09,16.67,0,0,-,28.07,46.78,37.50,0,0,-,0,60.82,0.00,0,0,-,0.00,100.00,1.000,0,14.04,7.02,63.16,0.00,7.02,14.04,14.04,33.33
2020,Aaron Ekblad,FLA,D,35,878.18333333333,25.090952380952,59.24,47.21,55.65,47.07,37.65,55.56,36.07,27.33,56.90,3.76,2.6,59.14,3.44,2.51,57.87,27.06,23.16,53.88,11,8.75,55.71,2.05,1.5,57.69,21.41,19.22,52.69,1.09,0.64,63.16,42.24,30.1,58.39,1.09,0.69,61.11,10.42,90.50,1.009,12.37,13.32,12.5,31.22,49.73,25.35,17.9,21.73,53.85
2020,Aaron Ness,ARI,D,1,12.833333333333,12.833333333333,65.45,56.1,53.85,60.78,46.75,56.52,42.08,37.4,52.94,0,0,-,6.47,2.56,71.67,46.75,32.73,58.82,23.38,9.35,71.43,0,0,-,31.17,31.17,50.00,0,0,-,27.01,33.77,44.44,0,0,-,0.00,100.00,1.000,9.35,14.03,14.03,46.75,40.00,18.7,18.7,28.05,40.00
2020,Adam Boqvist,CHI,D,34,576.98333333333,16.970098039216,56.05,46.17,54.83,41.39,35.56,53.78,31.61,27.25,53.71,3.33,2.81,54.24,2.78,2.53,52.34,31.2,24.44,56.07,10.5,10.09,51.01,1.56,1.46,51.72,27.59,19.13,59.05,1.94,0.97,66.67,31.84,26.29,54.78,0.45,0.6,42.86,10.53,89.69,1.002,13.73,10.5,3.74,41.18,78.57,29.32,16.43,10.5,73.63
2020,Adam Brooks,TOR,C,11,117.43333333333,10.675757575758,42.41,41.39,50.61,30.14,31.17,49.17,25.04,19.93,55.68,4.09,1.53,72.73,1.8,1.67,51.86,22.99,18.9,54.88,7.15,4.6,60.87,2.04,0.51,80.00,21.12,19.07,52.54,1.36,0,100.00,23.62,29.52,44.44,1.48,1.48,50.00,16.33,92.31,1.086,8.69,7.66,6.64,63.87,56.67,14.31,10.73,12.77,52.83
2020,Adam Erne,DET,L,45,626.45,13.921111111111,51.43,52.49,49.49,38.89,40.04,49.27,29.88,29.31,50.49,2.68,2.11,56.00,2.45,2.38,50.71,24.71,24.9,49.81,9.58,10.44,47.85,0.96,1.15,45.45,20.18,19.28,51.13,1.4,0.89,61.11,33.48,33.76,49.79,0.97,0.42,70.00,8.97,92.81,1.018,11.4,13.22,10.06,42.05,53.13,18.39,17.72,20.4,47.41
2020,Adam Fox,NYR,D,55,1358.85,24.706363636364,58.64,51.4,53.29,45.35,38.46,54.11,32.28,26.93,54.51,3.97,2.34,62.94,3.48,2.41,59.05,29.89,23.36,56.14,12.36,8.74,58.58,1.85,1.15,61.76,23.37,19.49,54.53,1.47,0.94,60.98,35.59,35.27,50.23,1.08,0.57,65.38,12.31,91.31,1.036,10.24,12.05,10.99,35.32,48.23,22.43,16.82,21.19,51.42
2020,Adam Gaudette,"CHI, VAN",C,40,444.85,11.12125,57.46,59.89,48.97,42.22,44.24,48.83,31.56,32.91,48.95,2.02,3.51,36.59,2.44,2.87,45.98,24.95,28.19,46.95,9.44,12.27,43.48,0.94,2.29,29.17,20.68,21.22,49.36,0.9,1.08,45.45,41.69,38.96,51.69,0.58,0.39,60.00,6.41,89.34,0.958,14.84,12.14,6.07,59.35,70.97,20.91,15.38,14.3,59.39
2020,Adam Henrique,ANA,C,45,721.8,16.04,58.19,53.2,52.24,42.31,41.9,50.25,30.09,31.17,49.12,2.74,3.57,43.42,2.65,2.83,48.35,27.93,25.6,52.17,10.56,10.89,49.22,1.5,2,42.86,23.16,19.62,54.15,1.22,1.33,47.83,36.98,34.94,51.42,0.48,0.48,50.00,9.12,88.53,0.976,16.79,11.31,10.47,42.98,61.59,24.27,15.79,18.54,56.70
2020,Adam Larsson,EDM,D,56,1100.25,19.647321428571,40.95,60.1,40.53,30.76,41.17,42.76,21.05,29.83,41.37,1.85,2.4,43.59,1.88,2.54,42.56,19.03,29.12,39.52,7.53,10.25,42.33,0.82,1.15,41.67,15.34,25.16,37.88,0.8,1.38,36.67,25.92,38.6,40.17,0.32,0.32,50.00,8.81,91.96,1.008,3.71,11.78,12.82,41.61,22.44,9.87,17.45,23.56,29.53
