Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2011,Aaron Gagnon,WPG,C,7,66.133333333333,9.447619047619,0,0,0,0,0,-,5.44,0.00,0.56,10.89,8.17,6.35,3.63,0.91,0,0,0,0,0,0,0,0,0.91,0.91,6.35,3.63,16.33,19.96,40.83
2011,Aaron Johnson,CBJ,D,56,924.4,16.507142857143,0.19,0.84,0.39,0.45,1.04,45.71,4.09,4.76,0.21,7.66,5.78,2.01,0.26,0.06,0.45,1.69,0.58,0.52,0,0.06,0.71,1.36,1.1,6.43,6.04,4.67,0,0,-
2011,Aaron Ness,NYI,D,9,152.43333333333,16.937037037037,0,0,0,0,0,0.00,2.36,0.00,0.16,7.09,5.12,2.36,0,0,0,0.79,0.39,0.39,0,0,0,1.18,0.79,0.79,5.51,6.69,0,0,-
2011,Aaron Palushaj,MTL,R,38,287.51666666667,7.5662280701754,0.21,0.83,0.21,0.63,1.04,62.50,7.72,2.70,0.51,14.61,10.64,7.72,2.09,0.42,0.63,1.67,0.83,0.83,0,0,2.09,1.04,1.88,5.84,10.43,2.3,0,0.83,0.00
2011,Aaron Rome,VAN,D,43,654.73333333333,15.226356589147,0.37,0.55,0.27,0.27,0.92,47.62,3.85,9.52,0.18,9.62,6.41,2.29,0.27,0.18,0.46,4.22,1.47,1.19,0.18,0.09,0.64,1.19,0.37,5.86,7.33,5.68,0,0,-
2011,Aaron Volpatti,VAN,L,23,206.28333333333,8.9688405797101,0.29,0,0,0,0.29,20.00,4.94,5.88,0.34,10.18,6.69,4.65,1.45,0.87,0.58,10.76,3.2,1.75,1.45,0,2.33,1.16,0.29,17.74,11.05,2.33,1.16,0,29.09
2011,Adam Burish,DAL,R,65,831.21666666667,12.787948717949,0.43,0.94,0.51,0.43,1.37,59.38,5.92,7.32,0.52,10.11,8.16,4.76,2.74,0.14,0.51,5.2,1.44,1.15,0,0.29,1.23,0.94,1.23,4.98,5.7,2.6,15.66,12.42,4.03
2011,Adam Cracknell,STL,R,2,15.283333333333,7.6416666666667,3.93,0,0,0,3.93,100.00,3.93,100.00,0.39,7.85,7.85,3.93,3.93,0,0,0,0,0,0,0,0,0,3.93,3.93,7.85,11.78,0,3.93,0.00
2011,Adam Hall,T.B,R,57,676.35,11.865789473684,0.18,0.44,0.35,0.09,0.62,43.75,5.59,3.17,0.5,7.9,7.19,4.7,3.1,0.35,0.8,1.51,0.62,0.53,0.09,0,0.89,0.53,1.06,7.9,3.55,2.66,24.48,16.68,5.28
2011,Adam Henrique,N.J,C,74,1343.85,18.160135135135,0.71,1.56,0.8,0.76,2.28,77.27,5.8,12.31,0.62,8.44,7.32,5.98,3.35,0.31,0.36,0.31,0.09,0.04,0.04,0,0.63,1.12,2.19,3.71,2.72,2.54,22.37,23.44,2.18
2011,Adam Larsson,N.J,D,65,1340.3333333333,20.620512820513,0.09,0.72,0.36,0.36,0.81,32.73,3.04,2.94,0.11,6.85,4.16,1.3,0.04,0.04,0.18,0.9,0.45,0.45,0,0,0.27,1.97,0.54,4.21,4.75,3,0,0,-
2011,Adam McQuaid,BOS,D,72,1076.5666666667,14.952314814815,0.11,0.45,0.11,0.33,0.56,22.22,3.51,3.17,0.1,8.75,4.96,1.28,0.11,0.06,0.33,5.52,1.5,0.95,0.39,0.17,1.06,1,0.5,5.8,5.96,5.63,0,0,-
2011,Adam Pardy,DAL,D,36,592.9,16.469444444444,0,0.3,0,0.3,0.3,14.29,2.93,0.00,0.1,5.67,3.74,1.52,0.2,0.3,0.3,1.62,0.71,0.71,0,0,0.61,0.91,0.91,3.95,7.49,4.96,0,0,-
2011,Adrian Aucoin,PHX,D,64,1295.8666666667,20.247916666667,0.09,0.32,0,0.32,0.42,18.75,4.26,2.17,0.14,9.31,6.53,1.34,0.09,0.23,0.65,1.94,0.97,0.97,0,0,0.51,0.79,1.2,4.49,1.2,3.1,0,0,-
2011,Akim Aliu,CGY,R,2,22.066666666667,11.033333333333,5.44,2.72,0,2.72,8.16,100.00,8.16,66.67,0.9,10.88,8.16,5.44,2.72,0,0,32.63,5.44,2.72,0,2.72,16.31,2.72,0,16.31,5.44,0,0,0,-
2011,Alec Martinez,L.A,D,51,750.71666666667,14.719934640523,0.48,0.48,0.4,0.08,0.96,37.50,6.23,7.69,0.38,13.27,8.55,3.2,0.88,0.32,1.04,0.64,0.32,0.32,0,0,0.48,0.88,0.08,4.08,6.47,3.84,0,0.08,0.00
2011,Ales Hemsky,EDM,R,69,1214.4,17.6,0.49,1.28,0.64,0.64,1.78,75.00,6.77,7.30,0.64,12.65,9.19,6.57,2.57,0.54,1.04,2.12,0.79,0.69,0.05,0.05,0.74,2.72,1.83,1.09,5.68,1.04,0.1,0.2,1.65
2011,Alex Goligoski,DAL,D,71,1616.7666666667,22.771361502347,0.33,0.78,0.48,0.3,1.11,40.00,5.2,6.43,0.29,12.54,8.35,2.63,0.56,0.22,0.45,0.59,0.3,0.3,0,0,0.37,1.71,0.71,1.82,4.16,3.45,0,0,-
2011,Alex Ovechkin,WSH,L,78,1544.4166666667,19.800213675214,1.48,1.05,0.54,0.51,2.53,69.15,11.77,12.54,1.09,23.7,17.02,11.07,3.42,0.78,0.78,1.01,0.51,0.51,0,0,1.17,1.98,1.32,8.35,6.29,1.63,0.23,0.35,1.55
2011,Alex Pietrangelo,STL,D,81,2003.2333333333,24.731275720165,0.36,1.17,0.63,0.54,1.53,57.30,6.05,5.94,0.4,13.78,9.46,3.41,0.57,0.33,0.69,1.08,0.42,0.39,0,0.03,0.27,1.11,1.41,2.7,4.28,3.98,0,0,-
2011,Alex Plante,EDM,D,3,31.933333333333,10.644444444444,0,1.88,1.88,0,1.88,50.00,0,-,0,1.88,0,0,0,0,1.88,3.76,1.88,1.88,0,0,3.76,1.88,0,9.39,0,1.88,0,0,-
2011,Alex Tanguay,CGY,L,64,1218.9166666667,19.045572916667,0.64,1.77,1.23,0.54,2.41,71.01,4.13,15.48,0.51,7.88,6.01,4.68,2.02,0.25,0.59,1.38,0.69,0.69,0,0,0.69,2.66,1.72,1.08,2.36,2.31,1.23,2.07,1.84
2011,Alexander Burmistrov,WPG,C,76,1266.35,16.6625,0.62,0.71,0.33,0.38,1.33,50.91,5.83,10.57,0.65,10.94,8.53,5.83,2.56,0.24,0.33,1.99,0.95,0.95,0,0,1.23,1.47,1.99,5.59,5.02,0.71,11.75,14.97,2.08
2011,Alexander Edler,VAN,D,82,1956.9,23.864634146341,0.34,1.17,0.49,0.67,1.5,47.57,6.99,4.82,0.35,15.12,9.93,3.62,0.86,0.15,0.67,1.04,0.52,0.52,0,0,0.37,1.56,0.98,4.38,6.99,4.45,0,0.09,0.00
2011,Alexander Radulov,NSH,R,9,174.13333333333,19.348148148148,1.03,1.38,1.03,0.34,2.41,63.64,7.24,14.29,0.83,12.06,9.65,8.96,5.51,0.69,0,1.38,0.69,0.69,0,0,0.34,1.38,1.72,1.72,3.1,1.72,0,0,-
2011,Alexander Semin,WSH,R,77,1292.8333333333,16.790043290043,0.97,1.53,1.02,0.51,2.51,69.23,8.49,11.48,0.77,18.29,13.04,8.91,2.92,0.6,0.79,2.6,1.3,1.3,0,0,0.84,1.81,2.41,1.44,3.85,0.88,0.05,0.46,0.42
2011,Alexander Steen,STL,L,43,822.45,19.126744186047,1.09,0.95,0.58,0.36,2.04,54.90,9.78,11.19,0.9,20.28,13.93,9.63,2.48,0.58,1.17,2.04,1.02,1.02,0,0,1.17,1.02,1.6,1.75,4.89,2.12,3.87,3.06,4.07
2011,Alexander Sulzer,"BUF, VAN",D,27,481.23333333333,17.823456790123,0.37,0.75,0.37,0.37,1.12,34.62,4.11,9.09,0.22,9.85,5.86,3.37,0.62,0.25,0.37,1,0.5,0.5,0,0,0.37,1.12,0.5,2.12,7.23,4.74,0,0,-
2011,Alexander Urbom,N.J,D,5,67.983333333333,13.596666666667,0.88,0,0,0,0.88,20.00,2.65,33.33,0.17,4.41,4.41,1.77,0.88,0,0,7.94,2.65,1.77,0.88,0,0.88,3.53,0,4.41,2.65,1.77,0,0,-
2011,Alexandre Bolduc,PHX,C,2,14.316666666667,7.1583333333333,0,0,0,0,0,-,4.19,0.00,0.41,8.38,8.38,8.38,0,0,0,8.38,4.19,4.19,0,0,0,0,0,4.19,4.19,0,4.19,0,419.09
2011,Alexandre Burrows,VAN,L,80,1477.95,18.474375,1.14,0.97,0.73,0.24,2.11,65.00,8.04,14.14,0.91,13.84,11.08,8.65,5.24,0.41,0.61,3.57,1.46,1.38,0,0.08,1.26,1.01,1.58,3.53,5.52,1.54,0.28,0.53,1.42
2011,Alexandre Giroux,CBJ,L,9,109.76666666667,12.196296296296,0.55,0,0,0,0.55,20.00,9.84,5.56,0.9,14.76,11.48,8.2,3.83,0,0,4.37,2.19,2.19,0,0,0.55,0.55,3.83,6.01,3.83,0,0.55,0,54.66
2011,Alexandre Picard,PIT,D,17,223.41666666667,13.142156862745,0,1.07,0.54,0.54,1.07,30.77,2.69,0.00,0.15,5.1,3.49,2.69,0.27,0,0.54,1.07,0.54,0.54,0,0,0.54,0.81,1.07,3.22,6.71,3.76,0,0,-
2011,Alexei Emelin,MTL,D,67,1158.7666666667,17.295024875622,0.16,0.21,0.16,0.05,0.36,17.95,3.21,4.84,0.15,7.56,4.5,1.92,0.31,0.05,0.57,1.55,0.78,0.78,0,0,1.19,2.38,0.67,12.22,5.23,4.56,0,0,-
2011,Alexei Ponikarovsky,"CAR, N.J",L,82,1209.2333333333,14.74674796748,0.69,0.94,0.45,0.5,1.64,67.35,7.74,8.97,0.87,13.65,10.42,8.53,4.76,0.2,1.04,1.69,0.84,0.84,0,0,0.79,0.94,1.64,7.1,4.71,1.79,0.2,0.4,1.65
2011,Andre Deveaux,NYR,C,9,48.383333333333,5.3759259259259,0,1.24,0,1.24,1.24,25.00,2.48,0.00,0.36,4.96,4.96,4.96,1.24,2.48,0,35.96,7.44,2.48,3.72,1.24,4.96,0,0,19.84,7.44,0,1.24,0,124.01
2011,Andre Petersson,OTT,R,1,5.0333333333333,5.0333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.76,0,0,0,-
2011,Andreas Engqvist,MTL,C,12,79.166666666667,6.5972222222222,0,0,0,0,0,0.00,2.27,0.00,0.29,8.34,6.06,3.79,0.76,0,0,3.03,1.52,1.52,0,0,0,0.76,0,6.82,3.79,3.79,18.19,27.28,30.32
2011,Andreas Lilja,PHI,D,46,629.61666666667,13.68731884058,0,0.57,0.29,0.29,0.57,26.09,3.34,0.00,0.1,5.24,4.19,1.05,0.29,0.1,0.29,3.24,1.62,1.62,0,0,0.48,1.62,0.76,5.81,5.15,6.86,0,0,-
2011,Andreas Nodl,"CAR, PHI",R,60,702.85,11.714166666667,0.26,0.43,0.34,0.09,0.68,72.73,5.63,4.55,0.59,11.01,8.79,5.55,2.39,0.17,0.43,0.68,0.34,0.34,0,0,0.51,1.02,1.88,5.8,5.38,1.45,0.26,0.43,3.20
2011,Andrei Kostitsyn,"MTL, NSH",L,72,1088.3333333333,15.115740740741,0.88,1.1,0.55,0.55,1.98,65.45,6.73,13.11,0.65,13.01,9.15,7.33,2.81,0.33,0.61,1.43,0.72,0.72,0,0,0.66,2.04,1.27,6.17,4.58,0.5,0.17,0.77,0.97
2011,Andrei Loktionov,L.A,C,39,488.65,12.529487179487,0.37,0.49,0.49,0,0.86,63.64,7.37,5.00,0.53,13.75,9.45,6.51,2.21,0.37,0.74,0.25,0.12,0.12,0,0,0.61,2.7,1.72,0.86,4.05,0.74,7.86,10.44,5.27
