PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Alex Ovechkin,WSH,22,LW,Right,WSH,Standard (1-way),22,,13,UFA,2021,"$9,538,462","$9,538,462","$9,000,000","$9,000,000",$0,$0,2009,0.23378583333333333
Sidney Crosby,PIT,20,C,Left,PIT,Standard (1-way),19,,5,UFA,2013,"$8,700,000","$8,700,000","$9,000,000","$9,000,000",$0,$0,2009,0.21323529411764705
Jaromír Jágr,-,36,RW,Left,WSH,Standard (1-way),29,,7,UFA,2009,"$7,920,000","$7,920,000","$8,360,000","$8,360,000",$0,$0,2009,0.19411764705882353
Brad Richards,-,28,"C, LW",Left,TBL,Standard (1-way),26,NTC,5,UFA,2011,"$7,800,000","$7,800,000","$7,800,000","$7,800,000",$0,$0,2009,0.19117647058823528
Zdeno Chara,-,31,LD,Left,BOS,Standard (1-way),29,NTC,5,UFA,2011,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0,2009,0.18382352941176472
Dany Heatley,-,27,LW,Left,OTT,Standard (1-way),26,NMC,6,UFA,2014,"$7,500,000","$7,500,000","$10,000,000","$10,000,000",$0,$0,2009,0.18382352941176472
Nicklas Lidström,-,38,D,Left,DET,35+ (1-way),37,NMC,2,UFA,2010,"$7,450,000","$7,450,000","$7,450,000","$7,450,000",$0,$0,2009,0.18259803921568626
Marián Hossa,-,29,RW,Left,DET,Standard (1-way),29,,1,UFA,2009,"$7,450,000","$7,450,000","$7,450,000","$7,450,000",$0,$0,2009,0.18259803921568626
Scott Gomez,-,28,C,Left,NYR,Standard (1-way),27,,7,UFA,2014,"$7,357,143","$7,357,143","$8,000,000","$8,000,000",$0,$0,2009,0.18032213235294117
Joe Thornton,-,28,"C, LW",Left,SJS,Standard (1-way),27,NTC,3,UFA,2011,"$7,200,000","$7,200,000","$7,200,000","$7,200,000",$0,$0,2009,0.17647058823529413
Brian Campbell,-,29,LD,Left,CHI,Standard (1-way),29,M-NTC,8,UFA,2016,"$7,142,875","$7,142,875","$7,142,875","$7,142,875",$0,$0,2009,0.17507046568627452
Thomas Vanek,-,24,"LW, RW",Right,BUF,Standard (1-way),23,,7,UFA,2014,"$7,142,857","$7,142,857","$8,000,000","$8,000,000",$0,$0,2009,0.1750700245098039
Chris Drury,-,31,C,Right,NYR,Standard (1-way),30,,5,UFA,2012,"$7,050,000","$7,050,000","$7,100,000","$7,100,000",$0,$0,2009,0.17279411764705882
Jarome Iginla,-,31,RW,Right,CGY,Standard (1-way),30,NMC,5,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2009,0.1715686274509804
Jason Spezza,-,25,"C, RW",Right,OTT,Standard (1-way),25,,7,UFA,2015,"$7,000,000","$7,000,000","$8,000,000","$8,000,000",$0,$0,2009,0.1715686274509804
Vincent Lecavalier,-,28,"C, LW",Left,TBL,Standard (1-way),25,,4,UFA,2009,"$6,875,000","$6,875,000","$7,166,666","$7,166,666",$0,$0,2009,0.16850490196078433
Henrik Lundqvist,-,26,G,Left,NYR,Standard (1-way),25,,6,UFA,2014,"$6,875,000","$6,875,000","$7,750,000","$7,750,000",$0,$0,2009,0.16850490196078433
Nikolai Khabibulin,-,35,G,Left,CHI,Standard (1-way),32,,4,UFA,2009,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0,2009,0.16544117647058823
Scott Niedermayer,-,34,D,Left,ANA,Standard (1-way),31,,4,UFA,2009,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0,2009,0.16544117647058823
Roberto Luongo,-,29,G,Left,VAN,Standard (1-way),27,,4,UFA,2010,"$6,750,000","$6,750,000","$7,000,000","$7,000,000",$0,$0,2009,0.16544117647058823
Pavel Datsyuk,-,29,"C, LW",Left,DET,Standard (1-way),28,NMC,7,UFA,2014,"$6,700,000","$6,700,000","$6,700,000","$6,700,000",$0,$0,2009,0.1642156862745098
Dan Boyle,-,31,LD,Right,TBL,Standard (1-way),31,NTC,6,UFA,2014,"$6,666,666","$6,666,666","$6,666,666","$6,666,666",$0,$0,2009,0.16339867647058823
Ed Jovanovski,-,32,LD,Left,ARI,Standard (1-way),30,NTC,5,UFA,2011,"$6,500,000","$6,500,000","$6,500,000","$6,500,000",$0,$0,2009,0.15931372549019607
Wade Redden,-,31,D,Left,NYR,Standard (1-way),31,,6,UFA,2014,"$6,500,000","$6,500,000","$8,000,000","$8,000,000",$0,$0,2009,0.15931372549019607
Dion Phaneuf,-,23,LD,Left,CGY,Standard (1-way),22,,6,UFA,2014,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0,2009,0.15931372549019607
Daniel Brière,-,30,C,Right,PHI,Standard (1-way),29,,8,UFA,2015,"$6,500,000","$6,500,000","$8,000,000","$8,000,000",$0,$0,2009,0.15931372549019607
Ilya Kovalchuk,-,25,"LW, RW",Right,ATL,Standard (1-way),22,,5,UFA,2010,"$6,400,000","$6,400,000","$7,500,000","$7,500,000",$0,$0,2009,0.1568627450980392
Kimmo Timonen,-,33,D,Left,PHI,Standard (1-way),32,NMC,6,UFA,2013,"$6,333,333","$6,333,333","$8,000,000","$8,000,000",$0,$0,2009,0.15522875
Marián Gáborík,-,26,RW,Left,MIN,Standard (1-way),24,,3,UFA,2009,"$6,333,333","$6,333,333","$7,500,000","$7,500,000",$0,$0,2009,0.15522875
Patrick Marleau,-,28,"LW, C",Left,SJS,Standard (1-way),27,NTC,2,UFA,2010,"$6,300,000","$6,300,000","$6,300,000","$6,300,000",$0,$0,2009,0.15441176470588236
Ryan Smyth,-,32,LW,Left,COL,Standard (1-way),31,NMC,5,UFA,2012,"$6,250,000","$6,250,000","$7,250,000","$7,250,000",$0,$0,2009,0.15318627450980393
Chris Pronger,-,33,D,Left,EDM,Standard (1-way),30,,5,UFA,2010,"$6,250,000","$6,250,000","$6,250,000","$6,250,000",$0,$0,2009,0.15318627450980393
Brian Rafalski,-,34,D,Right,DET,Standard (1-way),33,,5,UFA,2012,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2009,0.14705882352941177
Paul Kariya,-,33,LW,Left,STL,Standard (1-way),32,NMC,3,UFA,2010,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2009,0.14705882352941177
Jean-Sebastien Giguere,-,31,G,Left,ANA,Standard (1-way),30,NTC,4,UFA,2011,"$6,000,000","$6,000,000","$5,500,000","$5,500,000",$0,$0,2009,0.14705882352941177
Patrik Elias,-,32,"C, LW",Left,NJD,Standard (1-way),30,NMC,7,UFA,2013,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2009,0.14705882352941177
Martin Havlat,-,27,LW,Left,CHI,Standard (1-way),25,,3,UFA,2009,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2009,0.14705882352941177
Joe Sakic,-,38,C,Left,COL,35+ (1-way),38,,1,UFA,2009,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2009,0.14705882352941177
Miikka Kiprusoff,-,31,G,Left,CGY,Standard (1-way),30,,6,UFA,2014,"$5,833,333","$5,833,333","$8,500,000","$8,500,000",$0,$0,2009,0.14297384803921567
Bryan McCabe,-,33,D,Left,TOR,Standard (1-way),31,,5,UFA,2011,"$5,750,000","$5,750,000","$6,150,000","$6,150,000",$0,$0,2009,0.1409313725490196
Mike Richards,-,23,C,Left,PHI,Standard (1-way),23,,12,UFA,2020,"$5,750,000","$5,750,000","$5,400,000","$5,400,000",$0,$0,2009,0.1409313725490196
Andrei Markov,-,29,LD,Left,MTL,Standard (1-way),28,M-NTC,4,UFA,2011,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0,2009,0.1409313725490196
Tomas Vokoun,-,31,G,Right,NSH,Standard (1-way),30,NMC,4,UFA,2011,"$5,700,000","$5,700,000","$5,500,000","$5,500,000",$0,$0,2009,0.13970588235294118
Mats Sundin,-,37,C,Right,VAN,35+ (1-way),37,,1,UFA,2009,"$5,626,500","$5,626,500","$5,626,500","$1,626,500","$4,000,000",$0,2009,0.1379044117647059
Mathieu Schneider,-,39,D,Left,ANA,35+ (1-way),38,,2,UFA,2009,"$5,625,000","$5,625,000","$5,750,000","$5,750,000",$0,$0,2009,0.13786764705882354
Cristobal Huet,-,32,G,Right,CHI,Standard (1-way),32,,4,UFA,2012,"$5,625,000","$5,625,000","$5,625,000","$5,625,000",$0,$0,2009,0.13786764705882354
Lubomir Visnovsky,-,31,RD,Left,LAK,Standard (1-way),30,,5,UFA,2013,"$5,600,000","$5,600,000","$7,000,000","$7,000,000",$0,$0,2009,0.13725490196078433
