PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Alex Ovechkin,WSH,23,LW,Right,WSH,Standard (1-way),22,,13,UFA,2021,"$9,538,462","$9,538,462","$9,000,000","$9,000,000",$0,$0,2009-10,0.16793066901408452,56800000
Evgeni Malkin,PIT,22,C,Left,PIT,Standard (1-way),21,NMC,5,UFA,2014,"$8,700,000","$8,700,000","$9,000,000","$9,000,000",$0,$0,2009-10,0.15316901408450703,56800000
Sidney Crosby,PIT,21,C,Left,PIT,Standard (1-way),19,,5,UFA,2013,"$8,700,000","$8,700,000","$9,000,000","$9,000,000",$0,$0,2009-10,0.15316901408450703,56800000
Eric Staal,-,24,C,Left,CAR,Standard (1-way),23,,7,UFA,2016,"$8,250,000","$8,250,000","$6,000,000","$6,000,000",$0,$0,2009-10,0.14524647887323944,56800000
Brad Richards,-,29,"C, LW",Left,TBL,Standard (1-way),26,NTC,5,UFA,2011,"$7,800,000","$7,800,000","$7,800,000","$7,800,000",$0,$0,2009-10,0.13732394366197184,56800000
Vincent Lecavalier,-,29,"C, LW",Left,TBL,Standard (1-way),29,,11,UFA,2020,"$7,727,272","$7,727,272","$10,000,000","$10,000,000",$0,$0,2009-10,0.13604352112676057,56800000
Zdeno Chara,-,32,LD,Left,BOS,Standard (1-way),29,NTC,5,UFA,2011,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0,2009-10,0.13204225352112675,56800000
Dany Heatley,-,28,LW,Left,OTT,Standard (1-way),26,NMC,6,UFA,2014,"$7,500,000","$7,500,000","$8,000,000","$8,000,000",$0,$0,2009-10,0.13204225352112675,56800000
Marián Gáborík,-,27,RW,Left,NYR,Standard (1-way),27,NTC,5,UFA,2014,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0,2009-10,0.13204225352112675,56800000
Nicklas Lidström,-,39,D,Left,DET,35+ (1-way),37,NMC,2,UFA,2010,"$7,450,000","$7,450,000","$7,450,000","$7,450,000",$0,$0,2009-10,0.1311619718309859,56800000
Scott Gomez,-,29,C,Left,NYR,Standard (1-way),27,,7,UFA,2014,"$7,357,143","$7,357,143","$8,000,000","$8,000,000",$0,$0,2009-10,0.12952716549295776,56800000
Joe Thornton,-,29,"C, LW",Left,SJS,Standard (1-way),27,NTC,3,UFA,2011,"$7,200,000","$7,200,000","$7,200,000","$7,200,000",$0,$0,2009-10,0.1267605633802817,56800000
Brian Campbell,-,30,LD,Left,CHI,Standard (1-way),29,M-NTC,8,UFA,2016,"$7,142,875","$7,142,875","$7,142,875","$7,142,875",$0,$0,2009-10,0.12575484154929578,56800000
Thomas Vanek,-,25,"LW, RW",Right,BUF,Standard (1-way),23,,7,UFA,2014,"$7,142,857","$7,142,857","$6,400,000","$6,400,000",$0,$0,2009-10,0.12575452464788733,56800000
Chris Drury,-,32,C,Right,NYR,Standard (1-way),30,,5,UFA,2012,"$7,050,000","$7,050,000","$8,050,000","$8,050,000",$0,$0,2009-10,0.12411971830985916,56800000
Jarome Iginla,-,32,RW,Right,CGY,Standard (1-way),30,NMC,5,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2009-10,0.12323943661971831,56800000
Jason Spezza,-,26,"C, RW",Right,OTT,Standard (1-way),25,,7,UFA,2015,"$7,000,000","$7,000,000","$8,000,000","$8,000,000",$0,$0,2009-10,0.12323943661971831,56800000
Henrik Lundqvist,-,27,G,Left,NYR,Standard (1-way),25,,6,UFA,2014,"$6,875,000","$6,875,000","$6,875,000","$6,875,000",$0,$0,2009-10,0.1210387323943662,56800000
Anze Kopitar,LAK,21,C,Left,LAK,Standard (1-way),21,,7,UFA,2016,"$6,800,000","$6,800,000","$6,000,000","$6,000,000",$0,$0,2009-10,0.11971830985915492,56800000
Roberto Luongo,-,30,G,Left,VAN,Standard (1-way),27,,4,UFA,2010,"$6,750,000","$6,750,000","$7,500,000","$7,500,000",$0,$0,2009-10,0.11883802816901408,56800000
Pavel Datsyuk,-,30,"C, LW",Left,DET,Standard (1-way),28,NMC,7,UFA,2014,"$6,700,000","$6,700,000","$6,700,000","$6,700,000",$0,$0,2009-10,0.11795774647887323,56800000
Jay Bouwmeester,-,25,LD,Left,CGY,Standard (1-way),25,,5,UFA,2014,"$6,680,000","$6,680,000","$7,000,000","$7,000,000",$0,$0,2009-10,0.1176056338028169,56800000
Dan Boyle,-,32,LD,Right,TBL,Standard (1-way),31,NTC,6,UFA,2014,"$6,666,666","$6,666,666","$6,666,666","$6,666,666",$0,$0,2009-10,0.11737088028169014,56800000
