name,count,average_sentiment
Sidney Crosby,14,0.39285714285714285
Auston Matthews,5,0.8800000000000001
Matt Rempe,5,-0.09999999999999999
Nikita Kucherov,4,0.275
Nick Cousins,4,-0.775
Zach Hyman,3,0.6666666666666666
Connor Bedard,3,-0.26666666666666666
Tomas Hertl,2,0.0
Tom Wilson,2,-0.85
Ryan Reaves,2,0.05
Ryan Hartman,2,-0.19999999999999998
Noah Hanifin,2,0.0
Jeff Skinner,2,-0.1
Jason Robertson,2,0.1
Evgeny Kuznetsov,2,0.5
Connor Mcdavid,2,1.0
Aaron Ekblad,2,-0.6
Brayden Schenn,2,0.4
Claude Giroux,2,-0.09999999999999998
Brad Marchand,2,0.04999999999999999
Boone Jenner,1,-0.8
Nick Foligno,1,0.0
Brayden Point,1,0.0
Brandon Duhaime,1,0.0
Owen Tippett,1,1.0
Pontus Holmberg,1,1.0
Quinn Hughes,1,0.2
Quinton Byfield,1,1.0
Brady Tkachuk,1,1.0
Sean Walker,1,0.0
Seth Jarvis,1,-0.2
Seth Jones,1,-0.6
Shane Wright,1,1.0
Cole Perfetti,1,-0.4
Max Domi,1,1.0
T.J. Oshie,1,0.2
Artemi Panarin,1,0.0
Andrew Peeke,1,0.0
Trevor Zegras,1,-0.6
Troy Stecher,1,0.0
Tyler Toffoli,1,0.0
Victor Hedman,1,0.3
Vincent Trocheck,1,0.0
Vladimir Tarasenko,1,0.0
Yakov Trenin,1,0.0
Yanni Gourde,1,0.0
Zach Benson,1,-0.2
Steven Stamkos,1,0.0
Matthew Tkachuk,1,-0.7
Cole Caufield,1,0.6
Brendan Lemieux,1,1.0
Dante Fabbro,1,0.0
Dmitry Kulikov,1,-0.6
Erik Cernak,1,-0.6
Erik Johnson,1,0.0
Evan Bouchard,1,0.0
Filip Hronek,1,-0.2
Gustav Forsling,1,1.0
Ivan Miroshnichenko,1,1.0
Jack Eichel,1,1.0
Jack Hughes,1,1.0
Jack Roslovic,1,0.0
Jake Guentzel,1,1.0
Jamie Benn,1,0.7
Cale Makar,1,0.0
Jason Zucker,1,0.0
Brock Faber,1,1.0
Joel Edmundson,1,0.0
Joel Hanley,1,0.0
Johnny Gaudreau,1,0.1
Adam Larsson,1,0.0
Jordan Eberle,1,0.8
Jordan Martinook,1,1.0
Kaapo Kakko,1,0.1
Kaiden Guhle,1,-0.5
Kevin Hayes,1,1.0
Matt Dumba,1,0.0
Matt Grzelcyk,1,0.0
Jonathan Drouin,1,0.8
